type,topic,root_subtopic,negative_mods,positive_mods
AIRPORT,Security Notice,Staff Conduct,"rude, unprofessional, unhelpful, poor experience with","polite, professional, helpful, great experience with"
AIRPORT,Security Notice,Queue Management,"long wait, slow moving, disorganized","fast moving, short wait, well organized"
AIRLINE,Services for people with disabilities and limited mobility,Assistance,"Delayed, Unhelpful, Poor Experience with, Insufficient","Timely, Helpful, Great Experience with, Proactive"
AIRLINE,Services for people with disabilities and limited mobility,Accessibility,"Difficult access, Inaccessible facilities, Challenging transitions, Poorly designed","Easy access, Accessible facilities, Smooth transitions, Well-designed"
AIRLINE,Services for people with disabilities and limited mobility,Equipment Handling,"Damaged, Lost, Unavailable, Poor Experience with","Careful handling, Functional, Available, Great Experience with"
AIRLINE,Services for people with disabilities and limited mobility,Staff Conduct,"Rude, Uncaring, Uninformed, Disrespectful","Courteous, Empathetic, Knowledgeable, Respectful"
AIRPORT,Altanfeethi,Service Staff,"unhelpful, unresponsive, rude, disorganized","helpful, professional, attentive, courteous"
AIRPORT,Altanfeethi,Facilities,"overcrowded, dirty, poor amenities, uncomfortable","comfortable, clean, well-maintained, exclusive"
AIRPORT,Altanfeethi,Process Speed,"slow, delays, inefficient, confusing","expedited, smooth, quick, hassle-free"
AIRPORT,Altanfeethi,Overall Value,"Poor Experience with, not worth cost, disappointing","Great Experience with, worth the cost, excellent value"
AIRPORT,Commercial services,Retail and Dining,"limited options, overpriced, poor quality, Poor Experience with","good variety, fair prices, clean facilities, Great Experience with"
AIRPORT,Commercial services,Parking Services,"expensive, full capacity, confusing layout, Poor Experience with","easy access, clear signage, secure, Great Experience with"
AIRPORT,Commercial services,Lounge Access,"overcrowded, limited food, poor service, Poor Experience with","comfortable seating, good amenities, quiet atmosphere, Great Experience with"
AIRPORT,Commercial services,Ground Transport,"long waits, expensive fares, confusing routes, Poor Experience with","efficient connections, easy to find, clear instructions, Great Experience with"
AIRPORT,Security Process,Screening Process,"Slow, Inconsistent, Invasive, Poor Experience with","Efficient, Thorough, Smooth, Great Experience with"
AIRPORT,Security Process,Staff Interaction,"Unhelpful, Rude, Unprofessional, Poor Experience with","Helpful, Professional, Courteous, Great Experience with"
AIRPORT,Security Process,Wait Times,"Long, Excessive, Delayed, Poor Experience with","Short, Quick, Minimal, Great Experience with"
AIRPORT,Security Process,Procedures Clarity,"Confusing rules, Unclear guidance, Ambiguous, Poor Experience with","Clear instructions, Well-explained, Easy to understand, Great Experience with"
AIRPORT,PRM and Limited Mobility Services,Assistance Services,"delayed, unavailable, Poor Experience with","timely, efficient, Great Experience with"
AIRPORT,PRM and Limited Mobility Services,Accessibility Facilities,"poorly maintained, difficult access, unclear signage, inaccessible","well maintained, easy access, clear signage"
AIRPORT,PRM and Limited Mobility Services,Staff Interaction,"unhelpful, rude, uninformed, Poor Experience with","helpful, courteous, knowledgeable, Great Experience with"
AIRPORT,PRM and Limited Mobility Services,Mobility Equipment,"unavailable, broken, poorly maintained","available, functional, well maintained"
AIRPORT,First class and business class Passenger services,Lounge Access,"overcrowded, limited amenities, difficult access, Poor Experience with","easy access, comfortable, great amenities, Great Experience with"
AIRPORT,First class and business class Passenger services,Check-in Process,"slow, long wait, confusing, Poor Experience with","quick, efficient, priority service, Great Experience with"
AIRPORT,First class and business class Passenger services,Boarding Experience,"delayed, disorganized, confusing, Poor Experience with","smooth, priority boarding, organized, Great Experience with"
AIRPORT,First class and business class Passenger services,Staff Service,"unresponsive, unprofessional, rude, Poor Experience with","attentive, professional, courteous, Great Experience with"
AIRPORT,Baggage Services - Airports,Baggage Handling,"Rough, Slow, Damaged, Poor Experience with","Efficient, Quick, Careful, Great Experience with"
AIRPORT,Baggage Services - Airports,Baggage Claim,"Long wait, Confusing, Crowded, Poor Experience with","Fast delivery, Clear signage, Organized, Great Experience with"
AIRPORT,Baggage Services - Airports,Lost and Found,"Unresponsive, Difficult process, Item not found, Poor Experience with","Helpful staff, Quick recovery, Easy process, Great Experience with"
AIRPORT,Baggage Services - Airports,Baggage Security,"Slow process, Intrusive, Confusing rules, Poor Experience with","Thorough, Efficient screening, Clear instructions, Great Experience with"
AIRLINE,Customer Service,Agent Interaction,"Unhelpful staff, Rude agents, Uninformed, Inefficient service, Poor Experience with","Helpful staff, Polite agents, Knowledgeable, Efficient service, Great Experience with"
AIRLINE,Customer Service,Issue Resolution,"No resolution, Unsatisfactory outcome, Problem persisted, Poor Experience with","Quick resolution, Satisfactory outcome, Problem solved, Great Experience with"
AIRLINE,Customer Service,Communication,"Unclear information, Delayed updates, Misleading, Poor Experience with","Clear information, Timely updates, Proactive, Great Experience with"
AIRLINE,Boarding Services,Boarding Process,"Poor Experience with, delayed, disorganized, confusing","Great Experience with, organized"
AIRLINE,Boarding Services,Staff Assistance,"Poor Experience with, unhelpful, rude","Great Experience with, helpful, courteous"
AIRLINE,Boarding Services,Information Clarity,"Poor Experience with, unclear, late updates, misleading","Great Experience with, clear, timely updates"
AIRLINE,Boarding Services,Gate Area,"Poor Experience with, crowded, unclean, uncomfortable","Great Experience with, clean, comfortable"
Airline,First and Business Class Passenger Services,Lounge Experience,"Poor Experience with, overcrowded, limited options, slow service","Great Experience with, spacious, good food, attentive staff"
Airline,First and Business Class Passenger Services,In-flight Service,"Poor Experience with, unresponsive crew, poor food, limited entertainment","Great Experience with, attentive crew, delicious meals, good entertainment"
Airline,First and Business Class Passenger Services,Seating Comfort,"uncomfortable, cramped, dirty, broken features","comfortable, spacious, clean, functional features"
Airline,First and Business Class Passenger Services,Priority Services,"Poor Experience with, slow check-in, chaotic boarding, delayed baggage","Great Experience with, fast check-in, smooth boarding, quick baggage"
AIRLINE,Check-in Process,Check-in Experience,"confusing, stressful, Poor Experience with","smooth, efficient, Great Experience with"
AIRLINE,Check-in Process,Staff Interaction,"unhelpful, rude, uninformed","helpful, friendly, knowledgeable"
AIRLINE,Check-in Process,Waiting Time,"long wait, slow, crowded","quick, short queue, fast"
AIRLINE,Check-in Process,Baggage Drop,"slow process, long queue","efficient, quick process"
AIRLINE,On Board Services,Cabin Crew,"unresponsive, rude, unprofessional, inattentive, Poor Experience with","helpful, attentive, friendly, professional, Great Experience with"
AIRLINE,On Board Services,In-flight Entertainment,"not working, limited options, broken screen, Poor Experience with","diverse selection, working well, good variety, Great Experience with"
AIRLINE,On Board Services,Food and Beverage,"bad taste, poor quality, limited options, cold food, Poor Experience with","tasty, good quality, fresh, diverse menu, Great Experience with"
AIRLINE,On Board Services,Cabin Comfort,"dirty, cramped, uncomfortable seats, too hot, too cold, Poor Experience with","clean, spacious, comfortable seats, good temperature, Great Experience with"
AIRLINE,PRM and Limited Mobility Services,Assistance,"delayed, insufficient, Poor Experience with","timely, efficient, Great Experience with"
AIRLINE,PRM and Limited Mobility Services,Accessibility,"difficult access, poorly designed, Poor Experience with","easy access, well-designed, Great Experience with"
AIRLINE,PRM and Limited Mobility Services,Equipment,"broken, unavailable, Poor Experience with","functional, available, Great Experience with"
AIRLINE,PRM and Limited Mobility Services,Staff Support,"unhelpful, rude, Poor Experience with","helpful, courteous, Great Experience with"
AIRLINE,PRM and Limited Mobility Services,Information,"confusing, misleading, Poor Experience with","clear, accurate, Great Experience with"
AIRLINE,Flight Information Display Screen,Flight Information,"inaccurate, incomplete, confusing, Poor Experience with","accurate, complete, Great Experience with"
AIRLINE,Flight Information Display Screen,Screen Quality,"blurry, dim, hard to read","clear, bright, easy to read"
AIRLINE,Flight Information Display Screen,Update Timeliness,"delayed, outdated, slow updates","timely, real time, up to date"
AIRLINE,Flight Information Display Screen,Screen Location,"hidden, poorly placed, not visible","visible, well placed, easy to find"
AIRPORT,First and Business Class Passenger Services,Check-in,"slow, long wait, confusing, Poor Experience with","quick, efficient, smooth, Great Experience with"
AIRPORT,First and Business Class Passenger Services,Lounge Access,"overcrowded, limited options, dirty, Poor Experience with","comfortable, spacious, good food, Great Experience with"
AIRPORT,First and Business Class Passenger Services,Boarding,"delayed, disorganized, long wait, Poor Experience with","priority, organized, smooth, Great Experience with"
AIRPORT,First and Business Class Passenger Services,Staff Service,"unhelpful, rude, unresponsive, Poor Experience with","helpful, friendly, attentive, Great Experience with"
AIRPORT,First and Business Class Passenger Services,Amenities,"broken, unavailable, outdated, Poor Experience with","clean, well-maintained, modern, Great Experience with"
